input_image,bone_mask_image,TP,TN,FP,FN,recall,precision,FPR,FNR,PWC,Jaccard,Dice
dataset\inputs\input00001.dcm,dataset\bone_masks\mask00001.dcm,12428,248851,386,479,0.9628883551561168,0.96987669736226,0.0015487267139309173,0.037111644843883164,0.3299713134765625,0.9349281576769728,0.9663698923058979
dataset\inputs\input00002.dcm,dataset\bone_masks\mask00002.dcm,11833,249410,429,472,0.961641609101991,0.9650138639699886,0.0017171058161455977,0.03835839089800894,0.3437042236328125,0.9292445421705672,0.9633247852810681
dataset\inputs\input00003.dcm,dataset\bone_masks\mask00003.dcm,6336,255452,188,168,0.974169741697417,0.9711833231146536,0.0007354091691441089,0.025830258302583026,0.13580322265625,0.9468021518230721,0.9726742400982499
dataset\inputs\input00004.dcm,dataset\bone_masks\mask00004.dcm,5435,256348,105,256,0.9550166930240731,0.9810469314079422,0.0004094317477276538,0.0449833069759269,0.1377105712890625,0.9377156659765357,0.9678568248597632
dataset\inputs\input00005.dcm,dataset\bone_masks\mask00005.dcm,6617,254994,132,401,0.9428612140210886,0.9804415468958364,0.0005173914065990923,0.05713878597891137,0.2033233642578125,0.9254545454545453,0.9612842304060434
dataset\inputs\input00006.dcm,dataset\bone_masks\mask00006.dcm,6574,254875,183,512,0.9277448489980242,0.9729169749889004,0.0007174838664146978,0.07225515100197573,0.2651214599609375,0.9043884991057917,0.9497941197717258
dataset\inputs\input00007.dcm,dataset\bone_masks\mask00007.dcm,5660,255941,159,384,0.9364659166115156,0.9726757174772298,0.0006208512299882859,0.06353408338848444,0.2071380615234375,0.9124617120748023,0.9542274298238219
dataset\inputs\input00008.dcm,dataset\bone_masks\mask00008.dcm,5301,256259,125,459,0.9203125,0.9769627718392923,0.0004875499251123315,0.0796875,0.2227783203125,0.9007646559048428,0.947791882710531
dataset\inputs\input00009.dcm,dataset\bone_masks\mask00009.dcm,5414,256124,140,466,0.9207482993197279,0.9747929420237667,0.0005463116161458496,0.07925170068027211,0.231170654296875,0.8993355481727574,0.9470001749169145
dataset\inputs\input00010.dcm,dataset\bone_masks\mask00010.dcm,5775,255681,117,571,0.9100220611408761,0.980142566191446,0.0004573921610020407,0.08997793885912386,0.262451171875,0.8935478879777194,0.9437816636705344
dataset\inputs\input00011.dcm,dataset\bone_masks\mask00011.dcm,6288,255313,117,426,0.936550491510277,0.9817330210772833,0.000458051129467956,0.06344950848972297,0.2071380615234375,0.9205094422485729,0.9586096501257718
dataset\inputs\input00012.dcm,dataset\bone_masks\mask00012.dcm,6723,254903,130,388,0.9454366474476164,0.9810302057493069,0.0005097379554802712,0.054563352552383634,0.197601318359375,0.9284629194862587,0.9629046118590662
dataset\inputs\input00013.dcm,dataset\bone_masks\mask00013.dcm,6695,254896,185,368,0.9478974939827269,0.9731104651162791,0.0007252598194299065,0.05210250601727311,0.2109527587890625,0.9237030905077264,0.9603385211217098
dataset\inputs\input00014.dcm,dataset\bone_masks\mask00014.dcm,6088,255695,212,149,0.9761103094436427,0.9663492063492064,0.0008284259516152352,0.023889690556357222,0.1377105712890625,0.9440223290432626,0.9712052325117652
dataset\inputs\input00015.dcm,dataset\bone_masks\mask00015.dcm,6074,255566,136,368,0.942874883576529,0.9780998389694042,0.0005318691289078693,0.05712511642347097,0.1922607421875,0.9233809668592277,0.9601644008852356
dataset\inputs\input00016.dcm,dataset\bone_masks\mask00016.dcm,5798,255863,104,379,0.9386433543791485,0.9823788546255506,0.0004063023749155165,0.061356645620851545,0.1842498779296875,0.9231014169718197,0.9600132461296464
dataset\inputs\input00017.dcm,dataset\bone_masks\mask00017.dcm,5716,255978,96,354,0.9416803953871499,0.9834824501032347,0.0003748916328873685,0.05831960461285008,0.171661376953125,0.9270191372040222,0.9621275879481569
dataset\inputs\input00018.dcm,dataset\bone_masks\mask00018.dcm,6001,255704,174,265,0.9577082668368976,0.9718218623481781,0.0006800115680128811,0.04229173316310246,0.1674652099609375,0.9318322981366458,0.9647134474720681
dataset\inputs\input00019.dcm,dataset\bone_masks\mask00019.dcm,5604,256096,126,318,0.9463019250253293,0.9780104712041885,0.0004917610509636175,0.05369807497467072,0.16937255859375,0.9265873015873017,0.9618949536560247
dataset\inputs\input00020.dcm,dataset\bone_masks\mask00020.dcm,5135,256625,77,307,0.9435869165747887,0.9852264006139677,0.0002999587069831945,0.05641308342521132,0.146484375,0.9304221779307846,0.9639571991740191
dataset\inputs\input00021.dcm,dataset\bone_masks\mask00021.dcm,4885,256875,100,284,0.9450570710001934,0.9799398194583752,0.0003891429127347018,0.05494292899980654,0.146484375,0.9271208958056558,0.9621823911758913
dataset\inputs\input00022.dcm,dataset\bone_masks\mask00022.dcm,4777,257021,109,237,0.9527323494216194,0.9776913630781826,0.00042391008439310855,0.04726765057838053,0.131988525390625,0.9324614483700957,0.965050505050505
dataset\inputs\input00023.dcm,dataset\bone_masks\mask00023.dcm,5754,256041,79,270,0.9551792828685259,0.9864563689353677,0.0003084491644541621,0.044820717131474105,0.1331329345703125,0.9428150090119614,0.9705659104326558
